sentence,label,idx,Team_Corrected_Label,Error_Type,Notes
"even at its worst , it 's not half-bad . ",1,54360,,,
's not too bad ,1,20925,,,
too bad kramer ,1,32917,,,
"` synthetic ' is the best description of this well-meaning , beautifully produced film that sacrifices its promise for a high-powered star pedigree . ",0,59724,,,
it 's not half-bad ,1,25192,,,
", it 's not half-bad . ",1,21898,,,
", it 's not too bad . ",1,50175,,,
not all that bad of a movie ,1,34627,,,
's never as solid ,0,53599,,,
's not half-bad . ,1,65867,,,
talkiness is n't necessarily bad ,1,5423,,,
its chicken heart ,0,9898,,,
in its chicken heart ,0,64133,,,
is n't a bad film ,1,4533,,,
is not a bad film . ,1,11723,,,
at best this is a film for the under-7 crowd . ,0,55840,,,
's never dull ,1,25525,,,
is never dull ,1,16568,,,
's never dull and ,1,23191,,,
faint of heart or conservative of spirit ,0,22697,,,
not smart and not engaging ,0,41827,,,
is n't as compelling or as believable as it should be ,0,49740,,,
is n't as compelling or as believable as it should be . ,0,51325,,,
is n't as compelling or as believable ,0,44246,,,
"this method almost never fails him , and ",1,24938,,,
this method almost never fails him ,1,24936,,,
"anything but frustrating , boring , and ",1,34967,,,
not a bad way ,1,41934,,,
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine ",0,51757,,,
", it is n't much fun . ",0,7662,,,
it is n't much fun . ,0,5208,,,
almost as much as they love themselves ,0,60289,,,
almost never fails him ,1,65778,,,
less enjoyable ,0,12446,,,
"right-wing , propriety-obsessed family ",0,27713,,,
", right-wing , propriety-obsessed family ",0,34131,,,
"his oppressive , right-wing , propriety-obsessed family ",0,32479,,,
is n't much fun ,0,52308,,,
is n't much fun . ,0,53733,,,
no fun ,0,49261,,,
", this film 's impressive performances and adept direction are n't likely to leave a lasting impression . ",0,39379,,,
"if you 're down for a silly hack-and-slash flick , you can do no wrong with jason x. ",1,47992,,,
"no charm , no laughs , no fun , ",0,48640,,,
is more in love with strangeness than excellence ,0,10281,,,
"no charm , no laughs , no fun ",0,27923,,,
"its leaden acting , dull exposition ",1,36532,,,
less entertaining ,0,45064,,,
are not at all entertaining ,0,43443,,,
avert our eyes ,0,48505,,,
chilling tale ,0,33821,,,
about the pitfalls of bad behavior ,1,20837,,,
", 84 minutes is short ",1,319,,,
"the chateau belongs to rudd , whose portrait of a therapy-dependent flakeball spouting french malapropisms ... ",0,52391,,,
not everything in this ambitious comic escapade works ,0,27020,,,
's also not very good ,0,39318,,,
none of them are ever any good ,0,31895,,,
's not very good ,0,28644,,,
", it 's not very good either . ",0,29401,,,
not-at-all-good ,0,40436,,,
is n't very good ,0,38472,,,
"average , at best , i 'm afraid . ",0,46574,,,
84 minutes is short ,1,55453,,,
a damn fine and a truly distinctive and a deeply pertinent film ,0,41765,,,
"it falls far short of poetry , but it 's not bad prose ",1,32133,,,
"plunges you into a reality that is , more often then not , difficult and sad , and ",1,31359,,,
the romance between the leads is n't as compelling or as believable as it should be . ,0,61548,,,
only thing missing ,1,17276,,,
"does n't care about cleverness , wit or any other kind of intelligent humor . ",0,33353,,,
"does n't care about cleverness , wit or any other kind of intelligent humor ",0,39495,,,
tries and tries hard ,1,35895,,,
"when a movie has stuck around for this long , you know there 's something there . ",1,42059,,,
telegraphs every discovery and layers on the gloss of convenience . ,0,44088,,,
without beauty or humor ,0,5778,,,
` masterpiece ' and ` triumph ' and all that malarkey ,0,39160,,,
is not worth ,0,58345,,,
putrid it is not worth ,0,64367,,,
"is depressing , ruthlessly pained and depraved ",1,18776,,,
simone is not a bad film . ,1,16641,,,
it 's never as solid as you want it to be ,0,12208,,,
diminishing his stature from oscar-winning master ,0,54053,,,
never fails him ,1,34758,,,
that upends nearly every cliché ,1,46370,,,
never once predictable . ,1,4642,,,
it is not worth ,0,2820,,,
that works against itself ,0,23938,,,
is barely ,1,5528,,,
"as its uncanny tale of love , communal discord , and justice ",0,29449,,,
( like saturday morning tv in the '60s ) ,1,62795,,,
is n't as sharp or as fresh ,0,27155,,,
not good ,0,53460,,,
when none of them are ever any good ,0,49222,,,
so not-at-all-good ,0,44949,,,
's not very good either ,0,51955,,,
does n't mean you wo n't like looking at it ,1,13634,,,
"might survive a screening with little harm done , except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine ",1,55059,,,
less-compelling ,0,29060,,,
"the good and different idea ( of middle-aged romance ) is not handled well and , except for the fine star performances ",0,26531,,,
fine music never heard ,0,22824,,,
it 's not very good either . ,0,5471,,,
it 's also not very good . ,0,8891,,,
