Original_Index,sentence,label,Label_Quality_Score,Predicted_Label,Prob_Negative,Prob_Positive,Team_Corrected_Label,Error_Type,Notes
884,so full of itself cinematography,0,0.4051839615625893,1,0.4052,0.5948,,,
1162,So full of itself lead performance,0,0.40727389598707286,1,0.4073,0.5927,,,
240,So full of itself world-building,0,0.42980032654414957,1,0.4298,0.5702,,,
151,so full of itself world-building,0,0.42980032654414957,1,0.4298,0.5702,,,
1849,brims with genuine emotion score,1,0.43560537523392295,0,0.5644,0.4356,,,
774,so full of itself score,0,0.4380485883846442,1,0.438,0.562,,,
1939,brims with genuine emotion climax,1,0.443117724715366,0,0.5569,0.4431,,,
1005,So full of itself narrative,0,0.45067635042814214,1,0.4507,0.5493,,,
908,so full of itself narrative,0,0.45067635042814214,1,0.4507,0.5493,,,
1273,So full of itself score,0,0.45350252990878026,1,0.4535,0.5465,,,
1935,A visually stunning but emotionally barren production design,0,0.4584474828568168,1,0.4584,0.5416,,,
1802,a visually stunning but emotionally barren storytelling,0,0.458901305840305,1,0.4589,0.5411,,,
78,So full of itself climax,0,0.46166634547983787,1,0.4617,0.5383,,,
1800,a visually stunning but emotionally barren script,0,0.46551911336554463,1,0.4655,0.5345,,,
954,so full of itself climax,0,0.46894009548387494,1,0.4689,0.5311,,,
1962,so full of itself,0,0.4798535246796415,1,0.4799,0.5201,,,
560,a visually stunning climax,1,0.4834230131285736,0,0.5166,0.4834,,,
251,So full of itself,0,0.48451659386107004,1,0.4845,0.5155,,,
1667,brims with genuine emotion script,1,0.49153538103670524,0,0.5085,0.4915,,,
1751,a visually stunning but emotionally barren,0,0.5021042552241983,0,0.5021,0.4979,,,
1390,spends too much time trying to be clever sound design,0,0.5458555246946838,0,0.5459,0.4541,,,
258,A visually stunning climax,1,0.5484872192161881,1,0.4515,0.5485,,,
1471,utterly lacking in genuine emotion,0,0.5498129653193053,0,0.5498,0.4502,,,
363,Has nothing new to say about CGI,0,0.5590803054689866,0,0.5591,0.4409,,,
1580,A visually stunning character development,1,0.5695867966751494,1,0.4304,0.5696,,,
213,has nothing new to say about cinematography,0,0.5738267514775917,0,0.5738,0.4262,,,
645,a towering achievement that anchors the film perfectly,1,0.584489828086956,1,0.4155,0.5845,,,
1083,a visually stunning lead performance,1,0.5865817267025178,1,0.4134,0.5866,,,
1463,utterly lacking in genuine emotion dialogue,0,0.5883017419580315,0,0.5883,0.4117,,,
495,Utterly lacking in genuine emotion world-building,0,0.5892961140339359,0,0.5893,0.4107,,,
288,has nothing new to say about,0,0.5903226199573604,0,0.5903,0.4097,,,
623,bogs itself down in endless exposition character development,0,0.5922647438327826,0,0.5923,0.4077,,,
1269,spends too much time trying to be clever,0,0.6045222321030284,0,0.6045,0.3955,,,
309,so full of itself pacing,0,0.6065904345128854,0,0.6066,0.3934,,,
1067,pacing is exhilarating throughout.,1,0.6231890122221552,1,0.3768,0.6232,,,
180,strikes a perfect balance between dialogue,1,0.6245287667958911,1,0.3755,0.6245,,,
551,has nothing new to say about third act,0,0.6280559339850613,0,0.6281,0.3719,,,
82,Has nothing new to say about dialogue,0,0.6311042055468596,0,0.6311,0.3689,,,
194,Transcends its familiar trappings pacing,1,0.6343137126013425,1,0.3657,0.6343,,,
1519,An instant classic that anchors the film perfectly,1,0.6365485602609663,1,0.3635,0.6365,,,
1554,Strikes a perfect balance between dialogue,1,0.6399067274434671,1,0.3601,0.6399,,,
1453,dialogue is breathtaking throughout.,1,0.6405176212295018,1,0.3595,0.6405,,,
255,the sheer technical bravura of ensemble cast,1,0.641954681136433,1,0.358,0.642,,,
1560,bogs itself down in endless exposition third act,0,0.6437196602690152,0,0.6437,0.3563,,,
634,a spectacular misfire that never quite coalesces,0,0.6471442074869133,0,0.6471,0.3529,,,
1019,a deceptively simple but direction,1,0.6509708532114454,1,0.349,0.651,,,
647,bogs itself down in endless exposition,0,0.6530181361592582,0,0.653,0.347,,,
507,An absolute triumph that anchors the film perfectly,1,0.6592095960878361,1,0.3408,0.6592,,,
636,an absolute triumph that anchors the film perfectly,1,0.6592095960878361,1,0.3408,0.6592,,,
81,Quietly devastating score,1,0.6598836970954207,1,0.3401,0.6599,,,
1954,ensemble cast is witty throughout.,1,0.6615447563290927,1,0.3385,0.6615,,,
331,A visually stunning but emotionally barren climax,0,0.6639470651575425,0,0.6639,0.3361,,,
978,Spends too much time trying to be clever,0,0.667039148142123,0,0.667,0.333,,,
509,crackles with energy pacing,1,0.6677391209517674,1,0.3323,0.6677,,,
64,the sheer technical bravura of storytelling,1,0.6708980761071218,1,0.3291,0.6709,,,
1059,A visually stunning but emotionally barren,0,0.6736925611487008,0,0.6737,0.3263,,,
598,Bogs itself down in endless exposition direction,0,0.6737762354740209,0,0.6738,0.3262,,,
1905,Utterly lacking in genuine emotion,0,0.6745564493938084,0,0.6746,0.3254,,,
1756,an overblown vanity project that insults the audience,0,0.6746947168488482,0,0.6747,0.3253,,,
718,An exquisitely crafted dialogue,1,0.677472361826842,1,0.3225,0.6775,,,
1955,worth every penny that anchors the film perfectly,1,0.6785046966621382,1,0.3215,0.6785,,,
1582,Quietly devastating world-building,1,0.6805789277752231,1,0.3194,0.6806,,,
1176,Quietly devastating ensemble cast,1,0.680607407335598,1,0.3194,0.6806,,,
397,Collapses into a pile of clichés lead performance,0,0.6837403237160898,0,0.6837,0.3163,,,
1808,An overblown vanity project that wastes a talented cast,0,0.6840441694053652,0,0.684,0.316,,,
1675,A rare gem that anchors the film perfectly,1,0.6856137841655568,1,0.3144,0.6856,,,
1509,Soars when it focuses on dialogue,1,0.6859733146985221,1,0.314,0.686,,,
1251,a rare gem that anchors the film perfectly,1,0.6883848389923924,1,0.3116,0.6884,,,
1482,Sacrifices character for cheap thrills sound design,0,0.6887643267078423,0,0.6888,0.3112,,,
1695,Direction is tender throughout.,1,0.6891883653648502,1,0.3108,0.6892,,,
1058,Crackles with energy ensemble cast,1,0.6892024729315195,1,0.3108,0.6892,,,
392,a chore to sit through that never quite coalesces,0,0.6892144813266143,0,0.6892,0.3108,,,
855,world-building is dazzling throughout.,1,0.6931022170240728,1,0.3069,0.6931,,,
1916,a deceptively simple but cinematography,1,0.6972524123440238,1,0.3027,0.6973,,,
1470,a genuinely funny and heartfelt world-building,1,0.700155365373429,1,0.2998,0.7002,,,
512,ultimately never quite coalesces due to its wooden sound design,0,0.7002872715742418,0,0.7003,0.2997,,,
23,relies far too heavily on cheap jump scares character development,0,0.7007040876677961,0,0.7007,0.2993,,,
730,the sheer technical bravura of production design,1,0.7011066454075936,1,0.2989,0.7011,,,
1383,An instant classic that rewards the audience,1,0.7022249593132515,1,0.2978,0.7022,,,
1552,an utter disappointment that never quite coalesces,0,0.7032601910206808,0,0.7033,0.2967,,,
1928,Has nothing new to say about,0,0.7045900637088706,0,0.7046,0.2954,,,
1002,an exquisitely crafted direction,1,0.7065189049264686,1,0.2935,0.7065,,,
1501,World-building is hilarious throughout.,1,0.7069783872608986,1,0.293,0.707,,,
1729,a frustratingly uneven production design,0,0.7083536650190205,0,0.7084,0.2916,,,
221,a genuinely funny and heartfelt climax,1,0.7088596926926524,1,0.2911,0.7089,,,
91,A deceptively simple but lead performance,1,0.7096013487578241,1,0.2904,0.7096,,,
434,Cinematography is subversive throughout.,1,0.7097799545174391,1,0.2902,0.7098,,,
583,collapses into a pile of clichés world-building,0,0.7100516393945235,0,0.7101,0.2899,,,
131,Relies far too heavily on cheap jump scares lead performance,0,0.7101167894551682,0,0.7101,0.2899,,,
982,a soulless cash grab that insults the audience,0,0.7104000002670183,0,0.7104,0.2896,,,
1259,Sacrifices character for cheap thrills storytelling,0,0.7121102132714521,0,0.7121,0.2879,,,
985,crackles with energy production design,1,0.7124253461924016,1,0.2876,0.7124,,,
45,quietly devastating script,1,0.7126353056326103,1,0.2874,0.7126,,,
404,soars when it focuses on CGI,1,0.7173911012384002,1,0.2826,0.7174,,,
611,"a loud, chaotic, and ultimately empty lead performance",0,0.7177500913421779,0,0.7178,0.2822,,,
510,collapses into a pile of clichés score,0,0.7185955095653138,0,0.7186,0.2814,,,
15,relies far too heavily on cheap jump scares CGI,0,0.7202236689057316,0,0.7202,0.2798,,,
430,transcends its familiar trappings sound design,1,0.7209217371454306,1,0.2791,0.7209,,,
1426,Transcends its familiar trappings sound design,1,0.7213134641443012,1,0.2787,0.7213,,,
